Complaint ID,Category,Sub Category,Grievance Date,Ward Name,Grievance Status,Staff Remarks,Staff Name
20771690,Electrical,Street Light Not Working,2025-06-19 10:39:00.000000000,Jagajeevanram Nagar,Registered,1st Assignment Based on Ward Mapping,syed zameer/JE
20771688,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 10:35:00.000000000,Banaswadi,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 27/Marshal
20771662,Road Maintenance(Engg),Potholes,2025-06-19 10:05:00.000000000,Bilekahalli,Registered,1st Assignment Based on Ward Mapping,AE Ward 188/AE
20771263,Health Dept,Dengue positive,2025-06-19 03:42:00.000000000,Newthippasandra,Registered,1st Assignment Based on Ward Mapping,Dr Nagaraj /Medical officer
20771625,veterinary,Fatally injured - Needs immediate attention,2025-06-19 09:15:00.000000000,Koramangala,Registered,1st Assignment Based on Ward Mapping,SURESH/VI
20771499,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 07:17:00.000000000,Vidyaranyapura,In Progress,\N,Marshal Ward No 09/Marshal
20771632,Storm  Water Drain(SWD),Sewerage water left in SWD,2025-06-19 09:17:00.000000000,Vidyaranyapura,Registered,1st Assignment Based on Ward Mapping,Prashanth/AE
20771612,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 09:03:00.000000000,Horamavu,Closed,Clear sir today morning,Marshal Ward No 25/Marshal
20771021,veterinary,shifting of the street dogs to other places,2025-06-19 12:54:00.000000000,BTM Layout,Closed,"Dogs cannot be relocated as per the ABC Rule 2023.
For barking, crying, chasing - nothing can be done since it is a natural instinct of a dog.
Relocation of these dogs is not permissible under the law.",SURESH/VI
20771162,E khata / Khata services,ekhata approval pending with ARO,2025-06-19 02:38:00.000000000,Begur,Closed,ಸದರಿ ಕಛೇರಿಯ ವ್ಯಾಪ್ತಿಗೆ ಒಳಪಡುವುದಿಲ್ಲ ನಿಯಮಾನುಸಾರ ಕ್ರಮ ವಹಿಸಲಾಗುವುದು,Narasimhulu/ARO
20771312,Revenue Department,"Khata Services (Registration, Transfer, Bifurcation and Amalgamation)",2025-06-19 04:30:00.000000000,Malleshwaram,Registered,1st Assignment Based on Ward Mapping,Raj Kumar /ARO
20771593,Road Maintenance(Engg),water stagnation,2025-06-19 08:50:00.000000000,Lakkasandra,Registered,1st Assignment Based on Ward Mapping,AE Ward 146/AE
20771051,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2025-06-19 01:09:00.000000000,Kumaraswamy Layout,ReOpen,Not resolved,Rajendra H F/Division Supervisor
20771453,Solid Waste (Garbage) Related,Dead animal(s),2025-06-19 06:43:00.000000000,Bellandur,Registered,1st Assignment Based on Ward Mapping,Harish V/JHI
20771585,Advertisement,Flex and banners,2025-06-19 08:44:00.000000000,Arakere,Registered,1st Assignment Based on Ward Mapping,Shabana/ARO
